analysis_id,lsd3457d20663qy
pvalue,0.7273138
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_name,Fat/Body weight
parameter_id,JAXLA_DXA_009_001
