analysis_id,j8e66589q51wph0
pvalue,0.6763905
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:2446274
parameter_name,NKT cells (panel A)
gene_symbol,Frmpd1
