gene_symbol,Bcs1l
mouse_life_stage,E12.5
analysis_id,2z9hu34zm800o45
pvalue,0.5539247
parameter_id,IMPC_XRY_007_001
parameter_name,Clavicle
mouse_strain,C57BL
gene_accession_id,MGI:1914071
