analysis_id,15144i1jisb7p1s
mouse_strain,C57BL
gene_symbol,Rgs20
parameter_name,Prepulse inhibition - PP4
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
parameter_id,ESLIM_011_001_704
pvalue,0.5894994
