gene_symbol,Dnaaf9
analysis_id,57872bd6q51p756
pvalue,0.7208483
parameter_name,HRV
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
