gene_symbol,Dhdds
gene_accession_id,MGI:1914672
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_MLN_063_001
pvalue,0.1500618
analysis_id,8tl80tlc539c189
mouse_strain,C57BL
mouse_life_stage,Early adult
