parameter_name,Bone Mineral Content
gene_accession_id,MGI:2385884
analysis_id,7a8p8d7006p0v07
gene_symbol,Ddx27
parameter_id,ESLIM_005_001_005
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.530149
