gene_symbol,Lamb3
mouse_life_stage,Early adult
pvalue,0.6764474
mouse_strain,C57BL
gene_accession_id,MGI:99915
analysis_id,ft0t4uxma84pm01
parameter_name,Cornea vascularisation
parameter_id,ESLIM_014_001_008
