analysis_id,6n17owvtm7ae02i
parameter_name,Right total retinal thickness
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_062_001
gene_accession_id,MGI:1914561
mouse_strain,C57BL
pvalue,0.06485337
gene_symbol,Nanp
