analysis_id,72nry2wqp28w0q5
gene_symbol,Arpc5l
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_002_001
pvalue,0.7490641
gene_accession_id,MGI:1921442
mouse_strain,C57BL
parameter_name,Zygomatic bone
