pvalue,0.766223
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
gene_symbol,Cntfr
parameter_id,IMPC_ECH_018_001
analysis_id,46dpfn3870m1z52
parameter_name,Respiration Rate
