gene_symbol,Amigo1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.08089831
gene_accession_id,MGI:2653612
analysis_id,pan2i15731r8853
parameter_name,Limb morphology
parameter_id,IMPC_GEP_084_001
