analysis_id,p42j68py64m2zw2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
parameter_name,Fat/Body weight
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:1914050
pvalue,0.1902729
