gene_symbol,Snap23
parameter_name,Number of rears - total
gene_accession_id,MGI:109356
parameter_id,IMPC_OFD_021_001
mouse_life_stage,Early adult
analysis_id,67h84h22w7srkir
mouse_strain,C57BL
pvalue,0.8689251
