parameter_name,Center permanence time
parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
gene_symbol,Snrpb2
analysis_id,2c0787q4o4n1f6s
mouse_life_stage,Early adult
pvalue,0.5075738
gene_accession_id,MGI:104805
