gene_symbol,Dnajc5b
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2992104
parameter_name,KLRG1+ mature NK cell number
gene_accession_id,MGI:1913576
analysis_id,d085e131z912d83
parameter_id,MGP_PBI_031_001
