parameter_id,IMPC_EYE_016_001
gene_symbol,Zfp683
mouse_strain,C57BL
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
pvalue,0.496219
parameter_name,Lens
analysis_id,3x4701348g49347
