analysis_id,9atq16d2j1cfkh0
gene_accession_id,MGI:99501
parameter_id,IMPC_ACS_006_001
pvalue,0.5924568
gene_symbol,Fgb
mouse_strain,C57BL
parameter_name,Response amplitude - S
mouse_life_stage,E12.5
