parameter_name,Pericardium Morphology
gene_symbol,Mms22l
mouse_life_stage,Early adult
pvalue,0.3343499
mouse_strain,129SV
gene_accession_id,MGI:2684980
analysis_id,2510242a16zr337
parameter_id,IMPC_GEL_006_001
