parameter_name,Hindlimbs - shape
gene_symbol,Bmp7
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
analysis_id,b514ucjyv91hm48
pvalue,0.9873734
mouse_strain,C57BL
