gene_symbol,Dnajc5b
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:1913576
analysis_id,9861908282982h0
pvalue,0.688229
parameter_name,Neural tube closure
mouse_strain,C57BL
mouse_life_stage,Early adult
