mouse_life_stage,Middle aged adult
pvalue,0.5299444
gene_accession_id,MGI:1336200
parameter_name,Blood Vessel Morphology
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
gene_symbol,Hpca
analysis_id,h2duo08kzh24kx0
