parameter_name,Body Weight
parameter_id,M-G-P_020_001_001
gene_symbol,Wars2
pvalue,0.509636
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
analysis_id,98w3lve6l11jz5k
mouse_strain,C57BL
