analysis_id,o451k8m5xi83998
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_id,IMPC_ACS_036_001
pvalue,0.2672992
mouse_life_stage,E9.5
parameter_name,% Pre-pulse inhibition - PPI4
mouse_strain,C57BL
