gene_symbol,Atrn
mouse_life_stage,Early adult
parameter_id,MGP_MLN_067_001
gene_accession_id,MGI:1341628
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
analysis_id,q3829769v4xt1e8
pvalue,0.06941039
