analysis_id,u4pmddt70q32gma
mouse_strain,C57BL
parameter_name,Midbrain
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
pvalue,0.466572
gene_symbol,Abo
