analysis_id,c3r019yt0w0b638
parameter_name,Total food intake
mouse_life_stage,Early adult
pvalue,0.3720642
mouse_strain,C57BL
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:1914437
gene_symbol,Zmynd19
