parameter_name,Delayed embryonic development
parameter_id,IMPC_GEL_063_001
pvalue,0.1749429
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914071
analysis_id,8fjvqm1e7t755oh
gene_symbol,BCS1L
