analysis_id,d6ms68xtnvsk1oz
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Right total retinal thickness
gene_symbol,Slc45a3
parameter_id,IMPC_EYE_062_001
pvalue,0.4673805
gene_accession_id,MGI:1922082
