parameter_name,Facial Morphology
gene_symbol,Psd4
mouse_life_stage,Early adult
pvalue,0.1762804
gene_accession_id,MGI:2674093
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
analysis_id,y8g4mc0386f3cz7
