analysis_id,69t4o8v9o1zt770
gene_symbol,Slc2a8
pvalue,0.5433632
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_027_001
gene_accession_id,MGI:1860103
parameter_name,Joints
