analysis_id,0azb2bjekdnd1f6
gene_accession_id,MGI:97838
pvalue,0.407215
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_name,Center resting time
parameter_id,JAX_OFD_015_001
