analysis_id,018flds4y1m2n3i
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:2673000
parameter_name,Facial Morphology
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Trim46
pvalue,0.5116323
