gene_symbol,Dhdds
parameter_name,Haemoglobin
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_003
mouse_strain,C57BL
analysis_id,071589q29c9u8v7
pvalue,0.3470249
