gene_symbol,Cdin1
parameter_id,MGP_PBI_001_001
gene_accession_id,MGI:3026886
pvalue,0.3252634
mouse_strain,C57BL
analysis_id,i7ytv52a596wr1k
parameter_name,Total T cell percentage
mouse_life_stage,Early adult
