gene_symbol,Tnni1
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
pvalue,0.06227491
mouse_life_stage,Early adult
analysis_id,7442w02a3427710
gene_accession_id,MGI:105073
parameter_name,Placenta Morphology
