gene_symbol,Lcn2
gene_accession_id,MGI:96757
analysis_id,36544i7c304knjm
mouse_strain,C57BL
parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
pvalue,0.8228849
