parameter_name,Lumbar processes
gene_symbol,Ddx27
pvalue,0.6445612
mouse_strain,129SV
parameter_id,IMPC_XRY_065_001
analysis_id,y43m838483mm7x2
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
