gene_symbol,Lamb3
mouse_strain,C52BL
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
pvalue,0.1211446
analysis_id,380z1kj4cmt2x6x
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
