analysis_id,113jgoz2gq0x670
parameter_id,MGP_MLN_031_001
mouse_strain,C57BL
gene_symbol,Atrn
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:1341628
pvalue,0.4602288
mouse_life_stage,Early adult
