parameter_name,Snout size
gene_accession_id,MGI:99915
analysis_id,9s3x6p1n2330of5
mouse_life_stage,Early adult
gene_symbol,Lamb3
parameter_id,MGP_CSD_067_001
pvalue,0.8784994
mouse_strain,C57BL
