parameter_name,center - resting time
analysis_id,ydpon2kqs9m418p
pvalue,0.2148724
gene_symbol,Frmpd1
parameter_id,M-G-P_007_001_011
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
