analysis_id,2t807v70x4h225l
gene_accession_id,MGI:1915848
pvalue,0.306409
parameter_id,IMPC_ECH_008_001
parameter_name,LVIDd
mouse_strain,C56BL
gene_symbol,Dnajc8
mouse_life_stage,Early adult
