parameter_name,cDCs CD11b Type
gene_symbol,Sdcbp2
pvalue,0.5369981
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1669onl479vh3v1
