parameter_name,Red blood cell count
mouse_life_stage,Early adult
gene_symbol,Sgip1
pvalue,0.3954754
parameter_id,ESLIM_016_001_002
gene_accession_id,MGI:1920344
mouse_strain,C57BL
analysis_id,d222f0978lk7jw8
