parameter_name,Distance travelled - total
gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_020_001
mouse_strain,C57BL
analysis_id,ji641x4rn1020nm
gene_accession_id,MGI:1914583
pvalue,0.9165278
