gene_symbol,Slc2a8
pvalue,0.5323283
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,4y9xjiy9oi7d2m9
parameter_id,MGP_MLN_058_001
gene_accession_id,MGI:1860103
parameter_name,Plasmacytoid DC - % of DC
