analysis_id,u26j6ff5f97yx54
pvalue,0.8901976
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
parameter_id,IMPC_FEA_106_001
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
mouse_strain,C57BL
