gene_symbol,Steap3
analysis_id,2t1r13376a2t4yw
pvalue,0.5853348
parameter_id,JAXLA_CSD_077_001
parameter_name,Contact righting
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
mouse_strain,C57BL
