gene_symbol,Stk35
parameter_id,IMPC_ABR_004_001
pvalue,0.6681202
parameter_name,6kHz-evoked ABR Threshold
mouse_strain,C57BL
analysis_id,i4izlt2107c6kgx
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
