analysis_id,45n9af49xek3szv
pvalue,0.3515499
gene_accession_id,MGI:2181659
parameter_id,MGP_IMM_036_001
parameter_name,KLRG1+ NK cells - % of NK cells
gene_symbol,Tox
mouse_strain,C57BL
mouse_life_stage,Early adult
