analysis_id,0h7i7xq6hpb606b
gene_accession_id,MGI:1918025
pvalue,0.9952051
mouse_strain,C57BL
gene_symbol,Zmynd8
parameter_name,Red blood cell count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_002_001
