analysis_id,59t4wn05j3g26bo
gene_accession_id,MGI:105073
gene_symbol,Tnni1
parameter_id,IMPC_EYE_027_001
pvalue,0.880036
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Persistence of hyaloid vascular system
