analysis_id,n9t44v844oprq70
mouse_life_stage,Early adult
parameter_name,Vocalization
mouse_strain,C57BL
parameter_id,IMPC_CSD_078_001
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
pvalue,0.4441261
