analysis_id,68hck491rf9rjc8
gene_symbol,Dhdds
pvalue,0.3589534
parameter_name,Red blood cell count
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_016_001_002
