gene_symbol,OLA1
analysis_id,xr754p8g5u2i39l
gene_accession_id,MGI:1914309
pvalue,0.8559489
parameter_id,MGP_MLN_033_001
parameter_name,Resting NK cells - % of NK cells
mouse_life_stage,E18.5
mouse_strain,C57BL
