parameter_name,Forebrain
analysis_id,7i98r35p3jp5k6h
mouse_life_stage,Early adult
gene_symbol,Zmynd19
parameter_id,IMPC_GEL_028_001
pvalue,0.7750258
mouse_strain,C57BL
gene_accession_id,MGI:1914437
