gene_symbol,Rab17
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_life_stage,Early adult
analysis_id,maf953vx2za5324
gene_accession_id,MGI:104640
parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
pvalue,0.4097212
