gene_symbol,Rap2b
gene_accession_id,MGI:1921262
parameter_id,IMPC_HEM_038_001
pvalue,0.4922208
parameter_name,Basophil differential count
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,zzjnfx7324q0srm
