analysis_id,aw9k93t136n72l3
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
pvalue,0.3586209
parameter_name,Center average speed
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_017_001
gene_symbol,Nemp2
