gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_name,Retina (combined)
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3419321
analysis_id,l3a299997bf2409
parameter_id,IMPC_EYE_092_002
