analysis_id,dj2c8u51a68rpv3
parameter_name,Global prepulse inhibition
mouse_strain,C57BL
pvalue,0.5103357
gene_symbol,Cd52
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:1346088
