gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
parameter_id,MGP_PBI_016_001
pvalue,0.7964472
mouse_strain,C57BL
parameter_name,Monocyte percentage
analysis_id,ow26r467hef3fl5
mouse_life_stage,Early adult
