gene_symbol,Ufc1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9348314
analysis_id,95r0072xv437y4o
gene_accession_id,MGI:1913405
parameter_id,MGP_MLN_067_001
parameter_name,Resting CD4+ T helper cells - % of CD45+
